user_id,userid_DI
16835,MHxPC130177019
16837,MHxPC130302482
16859,MHxPC130233973
16861,MHxPC130366505
16864,MHxPC130482505
16866,MHxPC130567865
16874,MHxPC130215106
16875,MHxPC130426457
16880,MHxPC130547561
16881,MHxPC130177684
16884,MHxPC130332653
16885,MHxPC130234876
16886,MHxPC130416330
16887,MHxPC130099369
16888,MHxPC130441048
16899,MHxPC130558056
16902,MHxPC130506789
16903,MHxPC130015533
16906,MHxPC130471056
16908,MHxPC130353078
16911,MHxPC130109147
16924,MHxPC130532582
16931,MHxPC130419699
16934,MHxPC130253853
16939,MHxPC130221351
16945,MHxPC130553628
16946,MHxPC130456928
16950,MHxPC130449682
16960,MHxPC130200852
16966,MHxPC130178207
16983,MHxPC130250781
16986,MHxPC130033506
16988,MHxPC130069164
16989,MHxPC130092729
16991,MHxPC130527875
17010,MHxPC130078469
17018,MHxPC130133818
17026,MHxPC130315735
17029,MHxPC130070998
17032,MHxPC130525536
17039,MHxPC130090653
17048,MHxPC130005486
17049,MHxPC130078434
17051,MHxPC130081465
17052,MHxPC130297437
17056,MHxPC130521390
17059,MHxPC130184554
17060,MHxPC130441126
17072,MHxPC130102446
17074,MHxPC130574918
17080,MHxPC130532340
17084,MHxPC130281369
17088,MHxPC130547940
17104,MHxPC130073093
17106,MHxPC130561878
17112,MHxPC130120856
17116,MHxPC130480038
17122,MHxPC130005925
17126,MHxPC130002275
17128,MHxPC130404349
17130,MHxPC130174961
17131,MHxPC130393519
17133,MHxPC130474208
17135,MHxPC130348886
17141,MHxPC130213814
17142,MHxPC130438203
17144,MHxPC130041623
17148,MHxPC130230184
17150,MHxPC130463705
17155,MHxPC130133032
17157,MHxPC130256443
17158,MHxPC130174554
17164,MHxPC130392148
17168,MHxPC130032334
17176,MHxPC130024489
17179,MHxPC130153096
17180,MHxPC130224439
17190,MHxPC130383507
17193,MHxPC130353367
17194,MHxPC130177983
17199,MHxPC130028569
17202,MHxPC130239868
17208,MHxPC130323278
17210,MHxPC130174167
17211,MHxPC130414929
17212,MHxPC130378411
17217,MHxPC130505050
17226,MHxPC130579192
17230,MHxPC130114579
17233,MHxPC130585342
17237,MHxPC130256389
17246,MHxPC130258612
17249,MHxPC130181166
17251,MHxPC130420793
17253,MHxPC130071414
17261,MHxPC130538964
17262,MHxPC130552413
17268,MHxPC130287518
17288,MHxPC130556916
17309,MHxPC130063177
17319,MHxPC130274473
17326,MHxPC130546548
17331,MHxPC130461814
17332,MHxPC130187124
17334,MHxPC130012153
17337,MHxPC130194469
17342,MHxPC130229283
17343,MHxPC130331056
17345,MHxPC130163100
17349,MHxPC130226230
17352,MHxPC130022502
17358,MHxPC130509986
17359,MHxPC130447318
17366,MHxPC130104644
17371,MHxPC130384229
17374,MHxPC130303882
17376,MHxPC130013413
17377,MHxPC130199681
17392,MHxPC130035933
17393,MHxPC130307855
17400,MHxPC130303594
17402,MHxPC130193258
17404,MHxPC130320317
17415,MHxPC130436623
17418,MHxPC130365509
17419,MHxPC130582002
17442,MHxPC130479028
17444,MHxPC130367227
17448,MHxPC130466858
17459,MHxPC130492953
17467,MHxPC130247470
17469,MHxPC130440442
17476,MHxPC130000198
17479,MHxPC130070664
17483,MHxPC130560067
17486,MHxPC130019742
17487,MHxPC130380668
17488,MHxPC130299262
17504,MHxPC130522580
17505,MHxPC130057736
17510,MHxPC130282029
17511,MHxPC130325769
17513,MHxPC130425156
17515,MHxPC130151322
17517,MHxPC130034896
17519,MHxPC130326082
17520,MHxPC130103701
17534,MHxPC130522646
17537,MHxPC130011310
17542,MHxPC130295772
17547,MHxPC130004041
17548,MHxPC130460734
17551,MHxPC130530217
17557,MHxPC130092972
17578,MHxPC130163306
17581,MHxPC130189425
17586,MHxPC130181213
17590,MHxPC130536099
17596,MHxPC130275916
17605,MHxPC130254791
17607,MHxPC130133933
17614,MHxPC130102501
17617,MHxPC130533600
17618,MHxPC130521614
17626,MHxPC130060113
17630,MHxPC130225536
17634,MHxPC130183180
17645,MHxPC130286267
17650,MHxPC130525596
17673,MHxPC130422523
17676,MHxPC130578356
17680,MHxPC130584448
17681,MHxPC130046037
17683,MHxPC130335370
17689,MHxPC130353219
17690,MHxPC130391352
17691,MHxPC130409208
17696,MHxPC130580906
17704,MHxPC130206860
17707,MHxPC130250171
17708,MHxPC130557980
17728,MHxPC130582085
17731,MHxPC130183647
17741,MHxPC130131242
17742,MHxPC130256743
17753,MHxPC130525836
17754,MHxPC130540953
17755,MHxPC130350076
17757,MHxPC130313906
17760,MHxPC130042797
17761,MHxPC130291406
17766,MHxPC130109837
17775,MHxPC130152334
17788,MHxPC130362086
17794,MHxPC130410828
17797,MHxPC130591817
17805,MHxPC130114710
17816,MHxPC130072742
17829,MHxPC130595983
17833,MHxPC130574802
17835,MHxPC130543491
17841,MHxPC130456220
17842,MHxPC130320014
17847,MHxPC130117535
17852,MHxPC130354796
17855,MHxPC130147568
17858,MHxPC130110792
17860,MHxPC130152133
17861,MHxPC130498167
17875,MHxPC130563836
17880,MHxPC130398048
17882,MHxPC130047948
17886,MHxPC130425231
17888,MHxPC130284417
17905,MHxPC130020034
17908,MHxPC130143882
17910,MHxPC130501783
17915,MHxPC130299748
17916,MHxPC130336757
17919,MHxPC130458176
17938,MHxPC130348005
17960,MHxPC130221397
17965,MHxPC130069184
17968,MHxPC130414935
17973,MHxPC130556218
17975,MHxPC130457324
17994,MHxPC130220134
17995,MHxPC130480339
17998,MHxPC130324509
18001,MHxPC130230399
18013,MHxPC130298091
18020,MHxPC130455512
18022,MHxPC130298682
18031,MHxPC130458447
18034,MHxPC130410337
18049,MHxPC130036170
18061,MHxPC130092908
18064,MHxPC130560898
18068,MHxPC130093684
18096,MHxPC130503589
18107,MHxPC130108918
18108,MHxPC130415538
18114,MHxPC130079685
18118,MHxPC130175609
18119,MHxPC130241519
18121,MHxPC130544109
18125,MHxPC130515890
18126,MHxPC130467040
18129,MHxPC130464227
18131,MHxPC130114761
